name,type,latitude,longitude,municipality
Malda Airport,small_airport,25.01018,88.126917,Malda
Dibrugarh Airport,medium_airport,27.4839000702,95.0168991089,Dibrugarh
Dimapur Airport,medium_airport,25.8838996887,93.7711029053,Dimapur
Muzaffarpur Airport,medium_airport,26.119101,85.313698,Muzaffarpur
Nawapara Airport,small_airport,20.870001,82.5196,Nawapara
Pasighat Airport,small_airport,28.064786,95.336952,Pasighat
Panagarh Air Force Station,medium_airport,23.4743003845,87.4274978638,
Barrackpore Air Force Station,small_airport,22.7810001373,88.3591995239,Barrackpore
Jay Prakash Narayan Airport,medium_airport,25.591299,85.087997,Patna
Purnea Airport,small_airport,25.759599685668945,87.41000366210938,
Birsa Munda Airport,medium_airport,23.314300537100003,85.3217010498,Ranchi
Rourkela Airport,medium_airport,22.256571,84.815193,Rourkela
Raxaul Airport,small_airport,26.9667,84.833298,
Rupsi Airport,small_airport,26.141867,89.907892,Rupsi
Tezu Airport,small_airport,27.9412002563,96.1343994141,Tezu
Tezpur Airport,medium_airport,26.7091007232666,92.78469848632812,
Utkela Airport,medium_airport,20.097778,83.183333,Bhawanipatna
Visakhapatnam International Airport,large_airport,17.723506,83.227729,Visakhapatnam
Ziro Airport,medium_airport,27.588301,93.828102,Ziro
Saifai Airport,small_airport,26.9202,79.06277,Barauli Khurd
Narnaul Airport,small_airport,28.077101,76.205002,
Karnal Airport,small_airport,29.714663,77.037438,Niawal
Suratgarh New Airport,small_airport,29.387800216674805,73.90390014648438,
Thoise Airport,small_airport,34.652599,77.375801,Nubra
Kargil Airport,small_airport,34.5243,76.155899,Kargil
Fukche Advanced Landing Ground,small_airport,32.937401,79.213203,Koyul
Jhunjhunu Airport,small_airport,28.1067008972168,75.37560272216797,
Pilani New Airport,small_airport,28.348800659179688,75.59369659423828,
Pinjore Airfield and Flying Club,small_airport,30.82457,76.883652,Gannan
Nagaur Airport,small_airport,27.20829963684082,73.7114028930664,
IIT Kanpur Airport,small_airport,26.520399,80.232904,Kanpur
Band Tal Airport,small_airport,26.000099182128903,78.26180267333984,
Maa Ganga Airport Uttarkashi,small_airport,30.582583,78.323164,Chinyalisour
Beas Airport,small_airport,31.559999,75.341301,Bhaini
